类别：所有类别

区域,pokemon squishmallow: (2023/4/18 - 2024/4/18)
Hawaii,100
North Dakota,100
Indiana,90
Wisconsin,90
Michigan,86
Ohio,81
Delaware,81
Iowa,81
Arizona,81
Pennsylvania,77
Nevada,77
Minnesota,77
Utah,77
Washington,77
Kentucky,77
California,72
New Mexico,72
West Virginia,72
Nebraska,68
Oregon,68
Texas,63
Maine,63
Kansas,63
Illinois,63
Missouri,63
District of Columbia,63
New Jersey,59
Tennessee,59
Oklahoma,59
North Carolina,59
Florida,54
Massachusetts,54
Virginia,54
Colorado,54
New Hampshire,54
South Carolina,54
Connecticut,50
Maryland,50
Georgia,50
Idaho,40
Arkansas,40
New York,40
Alabama,40
Louisiana,36
Alaska,
South Dakota,
Vermont,
Rhode Island,
Montana,
Mississippi,
Wyoming,
